Transaction ID,Customer ID,Transaction Date,Amount
T873,C082,04-07-2024,15961
T874,C033,03-01-2025,10201
T875,C092,25-07-2024,24806
T876,C010,30-07-2024,39286
T877,C062,06-05-2025,35120
T878,C065,26-03-2025,27513
T879,C070,15-04-2024,23662
T880,C090,07-09-2024,39016
T881,C082,24-11-2023,7267
T882,C099,16-09-2024,43196
T883,C086,14-12-2024,11001
T884,C083,06-07-2023,37011
T885,C083,04-07-2024,49427
T886,C043,24-08-2024,7043
T887,C002,04-09-2023,17056
T888,C029,09-09-2024,49045
T889,C067,02-12-2024,38144
T890,C089,17-06-2024,14585
T891,C058,12-02-2024,25733
T892,C060,20-06-2024,44635
T893,C076,31-07-2024,32898
T894,C020,26-12-2024,1709
T895,C062,07-07-2024,19461
T896,C054,03-09-2023,7706
T897,C094,05-03-2024,22928
T898,C040,13-05-2024,29940
T899,C027,29-11-2024,31749
T900,C045,28-12-2023,6497
T901,C057,01-08-2025,45763
T902,C058,17-12-2023,4502
T903,C039,17-10-2023,46681
T904,C015,17-11-2024,22583
T905,C083,10-09-2023,44477
T906,C022,08-10-2024,16085
T907,C067,05-11-2023,36269
T908,C021,15-02-2024,36790
T909,C055,18-10-2024,15294
T910,C052,18-05-2024,12315
T911,C082,13-11-2024,26024
T912,C004,15-06-2025,40346
T913,C026,29-04-2024,38910
T914,C055,04-08-2024,391
T915,C091,16-12-2024,13586
T916,C036,30-11-2024,37937
T917,C014,24-06-2025,35285
T918,C024,11-05-2025,21463
T919,C026,03-05-2024,7568
T920,C034,30-07-2025,32178
T921,C068,15-01-2025,20639
T922,C077,31-10-2024,40162
T923,C051,06-09-2025,7586
T924,C045,26-10-2023,30106
T925,C080,02-07-2024,44244
T926,C091,12-10-2025,19593
T927,C079,29-03-2025,5654
T928,C087,24-05-2023,20624
T929,C016,13-01-2025,20113
T930,C015,07-02-2025,24564
T931,C089,21-05-2024,33577
T932,C050,25-11-2023,39187
T933,C018,01-07-2024,25246
T934,C055,09-01-2024,31994
T935,C082,01-03-2025,45544
T936,C083,15-11-2023,36466
T937,C022,06-09-2024,19029
T938,C018,15-12-2023,20716
T939,C058,20-10-2024,3613
T940,C046,20-10-2023,31859
T941,C018,19-12-2023,25262
T942,C072,28-03-2025,42899
T943,C064,17-10-2024,44972
T944,C063,17-04-2024,46639
T945,C057,05-12-2024,11061
T946,C011,07-05-2024,2122
T947,C098,11-08-2024,19242
T948,C005,13-03-2024,14835
T949,C069,16-03-2024,11123
T950,C100,16-08-2024,37170
T951,C096,22-06-2024,36126
T952,C066,07-03-2024,37633
T953,C015,23-03-2025,35693
T954,C047,05-03-2025,49696
T955,C006,25-04-2025,35905
T956,C028,07-06-2025,6811
T957,C095,13-07-2024,19610
T958,C005,08-09-2024,17323
T959,C045,13-07-2024,5800
T960,C057,21-11-2023,15628
T961,C027,03-09-2024,46679
T962,C079,19-04-2025,28160
T963,C022,22-09-2024,9224
T964,C027,21-06-2024,3990
T965,C073,11-02-2024,34983
T966,C036,13-12-2024,21310
T967,C091,25-01-2025,19061
T968,C074,09-11-2024,33812
T969,C087,20-04-2025,6340
T970,C018,15-01-2025,49258
T971,C053,13-11-2024,18274
T972,C084,14-07-2023,46068
T973,C017,19-06-2024,9684
T974,C092,12-04-2024,16323
T975,C098,08-11-2024,32177
T976,C019,15-12-2024,41545
T977,C035,27-07-2024,24687
T978,C058,12-04-2023,41625
T979,C099,14-09-2024,26501
T980,C066,23-08-2024,45628
T981,C048,30-05-2024,32084
T982,C042,31-12-2024,262
T983,C100,15-08-2024,48002
T984,C059,13-10-2024,4250
T985,C069,11-05-2024,14375
T986,C055,04-02-2024,32521
T987,C035,15-07-2024,18685
T988,C044,03-10-2023,37202
T989,C063,11-03-2024,44831
T990,C098,15-05-2024,3110
T991,C013,26-09-2024,30219
T992,C003,01-02-2024,10453
T993,C057,02-11-2024,144
T994,C055,26-01-2024,45227
T995,C017,09-05-2025,42698
T996,C039,11-02-2024,18058
T997,C012,01-11-2024,23721
T998,C033,24-05-2023,24469
T999,C086,13-12-2024,3493
T1000,C051,15-10-2025,20121
